rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_genre,artist_popularity
54,spotify:track:5rurggqwwudn9clMdcchxT,"Metro Boomin, Swae Lee, NAV, A Boogie Wit da Hoodie","Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Republic Records,14,29,5,12781937,rap,85
55,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,"Big Machine Records, LLC",55,63,27,12723270,pop,100
56,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,67,28,12658038,pop,100
57,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,People,5K Records Limited,37,46,25,12604434,afrobeats,67
58,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,17,58,6,12600858,dance pop,85
59,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,Warner Records,3,52,22,12587386,bedroom pop,76
60,spotify:track:5IAESfJjmOYu7cHyX557kz,BTS,Take Two,BIGHIT MUSIC,4,45,4,12454651,k-pop,84
61,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,Kali Uchis,Moonlight,Geffen Records,37,51,17,12449838,colombian pop,81
62,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,61,188,12441280,canadian contemporary r&b,92
63,spotify:track:5JdLUE9D743ob2RtgmVpVx,Jain,Makeba,Columbia,60,60,4,12416664,french pop,65
64,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,50,62,133,12410282,permanent wave,85
65,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,10,55,31,12333763,gen z singer-songwriter,73
66,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,14,54,45,12324904,modern indie pop,75
67,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,66,19,12092725,pop,100
68,spotify:track:0dS2u2UFd88TIzDDaZDLvS,d4vd,Here With Me,Darkroom/Interscope Records,14,68,36,11988664,bedroom pop,76
69,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,1,65,52,11924311,argentine hip hop,83
70,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,Polydor Records,1,53,132,11908260,gauze pop,72
71,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,57,70,45,11874153,permanent wave,85
72,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,64,234,11871787,pop,78
73,spotify:track:4FAKtPVycI4DxoOHC01YqD,"Yandel, Feid",Yandel 150,La Leyenda LLC,8,49,26,11830188,latin hip hop,76
74,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Hey Mor,Aura Music Corp.,14,75,38,11699232,puerto rican pop,84
75,spotify:track:505v13epFXodT9fVAJ6h8k,KAROL G,AMARGURA,Universal Music Latino,69,71,7,11656603,reggaeton,88
76,spotify:track:2iVgM5C7m1G4CJGbms301G,"Shakira, Manuel Turizo",Copa Vacía,Sony Music Latin,76,-1,1,11598811,colombian pop,84
77,spotify:track:6T7FXSuXykeGktMLGp8WgE,"Lil Durk, J. Cole",All My Life (feat. J. Cole),Alamo,17,69,8,11596906,chicago drill,80
78,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,19,78,149,11416266,modern alternative rock,81
79,spotify:track:1oWkcc7hQdVYPQMyQ6AFov,Natanael Cano,Mi Bello Angel,WEA Latina,79,-1,1,11383723,corrido,85
80,spotify:track:6Ec5LeRzkisa5KJtwLfOoW,"Metro Boomin, A$AP Rocky, Roisee","Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Republic Records,30,56,5,11205819,rap,85
81,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,74,41,11193586,pop,82
82,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,82,61,10955081,reggaeton,95
83,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,Atlantic Records,83,118,125,10909830,folk-pop,72
84,spotify:track:23RoR84KodL5HWvUTneQ1w,Peggy Gou,(It Goes Like) Nanana - Edit,XL Recordings,84,87,2,10904050,electra,70
85,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,Loreen,Tattoo,Universal Music AB,11,76,8,10863940,europop,69
86,spotify:track:6GGtHZgBycCgGBUhZo81xe,Lana Del Rey,Say Yes To Heaven,Polydor Records,18,80,7,10856322,art pop,88
87,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,Luke Combs,Fast Car,River House Artists/Columbia Nashville,87,101,13,10844904,contemporary country,81
88,spotify:track:5Odq8ohlgIbQKMZivbWkEo,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,7,99,49,10789874,pop,79
89,spotify:track:567e29TDzLwZwfDuEpGTwo,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,83,104,10679563,australian hip hop,81
90,spotify:track:3oNnzH6hmqIGIhJ1NcHlrh,Maria Becerra,CORAZÓN VACÍO,WEA Latina,90,160,2,10669140,pop argentino,80
91,spotify:track:0cNSq9T5l8gZnpY14rsTR2,"Peso Pluma, Natanael Cano",PRC,Double P Records,9,57,23,10661482,corridos tumbados,90
92,spotify:track:41bmnQZoDMQdDh5zyomtW7,"Lil Uzi Vert, Nicki Minaj",Endless Fashion (feat. Nicki Minaj),Generation Now/Atlantic,92,-1,1,10626345,hip hop,83
93,spotify:track:0PB0O24JqAuNdOAFVJljMS,"Eladio Carrion, Bad Bunny",Coco Chanel,Rimas Entertainment LLC,13,102,16,10458150,trap boricua,80
94,spotify:track:3kf0WdFOalKWBkCCLJo4mA,Chino Pacas,El Gordo Trae El Mando,STREET MOB,27,81,21,10423702,corrido,76
95,spotify:track:1VvoSJiPG9dFsDQjTkACvG,"Natanael Cano, Peso Pluma, Gabito Ballesteros",AMG,WEA Latina,18,89,26,10402464,corrido,85
96,spotify:track:2Hc1LaV6bzFil3dE71eORA,"Lil Uzi Vert, Travis Scott",Aye (feat. Travis Scott),Generation Now/Atlantic,96,-1,1,10392685,hip hop,83
97,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53",DALE PLAY Records,2,95,26,10373774,argentine hip hop,83
98,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),Republic Records,33,94,20,10358914,rap,85
99,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",72,90,46,10277875,pop,100
100,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Summertime Sadness,Urban,94,107,47,10248097,art pop,88
101,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,24,84,38,10188819,detroit hip hop,87
102,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,32,86,28,10180326,pop,87
103,spotify:track:6f8wbdo8KU5ETWJA7lapgS,Peso Pluma,BYE,Double P Records,44,73,6,10165185,corridos tumbados,90
104,spotify:track:7j4OmvkjRz0PrjFADlHfQx,Adele,Set Fire to the Rain,XL Recordings,61,112,30,10164669,british soul,83
105,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,34,97,99,10128490,alt z,70
106,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,62,96,25,10125666,conscious hip hop,86
107,spotify:track:51FvjPEGKq2zByeeEQ43V9,"Marshmello, Manuel Turizo",El Merengue,Sony Music Latin,59,93,18,10114876,brostep,82
108,spotify:track:2VzCjpKvPB1l1tqLndtAQa,Peso Pluma,Por las Noches,El Cártel de Los Ángeles,25,110,19,9971505,corridos tumbados,90
109,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,105,22,9937959,pop,100
110,spotify:track:3fDTzkvrOo5xQIO480Qmsb,Lil Uzi Vert,Suicide Doors,Generation Now/Atlantic,110,-1,1,9919312,hip hop,83
